0:- :init
0:  :init end
2:- :setup_load from start.sdata
3:  :uplinklst end bloc:0 co:3
3:  :uplinklst end bloc:0 co:3
5:- :uplinklst end bloc:0 co:3
5:  :uplinklst end bloc:0 co:1
5:  :uplinklst end bloc:1 co:17
5:  :uplinklst end bloc:5 co:29
5:  :uplinklst end bloc:1 co:17
5:  :uplinklst end bloc:0 co:3
5:  :uplinklst end bloc:4 co:26
5:  :uplinklst end bloc:1 co:2
5:  :uplinklst end bloc:1 co:2
5:  :uplinklst end bloc:0 co:14
5:  :uplinklst end bloc:0 co:14
5:  :uplinklst end bloc:0 co:1
154:- :uplinklst end bloc:1 co:2
155:- :uplinklst end bloc:1 co:2
156:- :uplinklst end bloc:1 co:2
157:- :uplinklst end bloc:1 co:2
158:- :uplinklst end bloc:1 co:2
159:- :uplinklst end bloc:1 co:2
160:- :uplinklst end bloc:1 co:2
161:- :uplinklst end bloc:1 co:2
162:- :uplinklst end bloc:1 co:2
163:- :uplinklst end bloc:1 co:2
164:- :uplinklst end bloc:1 co:2
165:- :uplinklst end bloc:1 co:2
166:- :uplinklst end bloc:1 co:2
167:- :uplinklst end bloc:1 co:2
168:- :uplinklst end bloc:1 co:2
169:- :uplinklst end bloc:1 co:2
170:- :uplinklst end bloc:1 co:2
171:- :uplinklst end bloc:1 co:2
172:- :uplinklst end bloc:1 co:2
173:- :uplinklst end bloc:1 co:2
174:- :uplinklst end bloc:1 co:2
175:- :uplinklst end bloc:1 co:2
176:- :uplinklst end bloc:1 co:2
177:- :uplinklst end bloc:1 co:2
178:- :uplinklst end bloc:1 co:2
179:- :uplinklst end bloc:1 co:2
180:- :uplinklst end bloc:1 co:2
181:- :uplinklst end bloc:1 co:2
182:- :uplinklst end bloc:1 co:2
183:- :uplinklst end bloc:1 co:2
184:- :uplinklst end bloc:1 co:2
185:- :uplinklst end bloc:1 co:2
186:- :uplinklst end bloc:1 co:2
187:- :uplinklst end bloc:1 co:2
188:- :uplinklst end bloc:1 co:2
189:- :uplinklst end bloc:1 co:2
190:- :uplinklst end bloc:1 co:2
191:- :uplinklst end bloc:1 co:2
192:- :uplinklst end bloc:1 co:2
193:- :uplinklst end bloc:1 co:2
194:- :uplinklst end bloc:1 co:2
195:- :uplinklst end bloc:1 co:2
196:- :uplinklst end bloc:1 co:2
197:- :uplinklst end bloc:1 co:2
198:- :uplinklst end bloc:1 co:2
199:- :uplinklst end bloc:1 co:2
200:- :uplinklst end bloc:1 co:2
201:- :uplinklst end bloc:1 co:2
202:- :uplinklst end bloc:1 co:2
203:- :uplinklst end bloc:1 co:2
204:- :uplinklst end bloc:1 co:2
205:- :uplinklst end bloc:1 co:2
206:- :uplinklst end bloc:1 co:2
207:- :uplinklst end bloc:1 co:2
208:- :uplinklst end bloc:1 co:2
209:- :uplinklst end bloc:1 co:2
210:- :uplinklst end bloc:1 co:2
211:- :uplinklst end bloc:1 co:2
212:- :uplinklst end bloc:1 co:2
213:- :uplinklst end bloc:1 co:2
214:- :uplinklst end bloc:1 co:2
215:- :uplinklst end bloc:1 co:2
216:- :uplinklst end bloc:1 co:2
217:- :uplinklst end bloc:1 co:2
218:- :uplinklst end bloc:1 co:2
219:- :uplinklst end bloc:1 co:2
220:- :uplinklst end bloc:1 co:2
221:- :uplinklst end bloc:1 co:2
222:- :uplinklst end bloc:1 co:2
223:- :uplinklst end bloc:1 co:2
224:- :uplinklst end bloc:1 co:2
225:- :uplinklst end bloc:1 co:2
226:- :uplinklst end bloc:1 co:2
227:- :uplinklst end bloc:1 co:2
228:- :uplinklst end bloc:1 co:2
229:- :uplinklst end bloc:1 co:2
230:- :uplinklst end bloc:1 co:2
231:- :uplinklst end bloc:1 co:2
232:- :uplinklst end bloc:1 co:2
233:- :uplinklst end bloc:1 co:2
234:- :uplinklst end bloc:1 co:2
235:- :uplinklst end bloc:1 co:2
236:- :uplinklst end bloc:1 co:2
237:- :uplinklst end bloc:1 co:2
238:- :uplinklst end bloc:1 co:2
239:- :uplinklst end bloc:1 co:2
240:- :uplinklst end bloc:1 co:2
241:- :uplinklst end bloc:1 co:2
242:- :uplinklst end bloc:1 co:2
243:- :uplinklst end bloc:1 co:2
244:- :uplinklst end bloc:1 co:2
245:- :uplinklst end bloc:1 co:2
246:- :uplinklst end bloc:1 co:2
247:- :uplinklst end bloc:1 co:2
248:- :uplinklst end bloc:1 co:2
249:- :uplinklst end bloc:1 co:2
250:- :uplinklst end bloc:1 co:2
251:- :uplinklst end bloc:1 co:2
252:- :uplinklst end bloc:1 co:2
253:- :uplinklst end bloc:1 co:2
254:- :uplinklst end bloc:1 co:2
255:- :uplinklst end bloc:1 co:2
256:- :uplinklst end bloc:1 co:2
257:- :uplinklst end bloc:1 co:2
258:- :uplinklst end bloc:1 co:2
259:- :uplinklst end bloc:1 co:2
260:- :uplinklst end bloc:1 co:2
261:- :uplinklst end bloc:1 co:2
262:- :uplinklst end bloc:1 co:2
263:- :uplinklst end bloc:1 co:2
264:- :uplinklst end bloc:1 co:2
265:- :uplinklst end bloc:1 co:2
266:- :uplinklst end bloc:1 co:2
267:- :uplinklst end bloc:1 co:2
268:- :uplinklst end bloc:1 co:2
269:- :uplinklst end bloc:1 co:2
270:- :uplinklst end bloc:1 co:2
271:- :uplinklst end bloc:1 co:2
272:- :uplinklst end bloc:1 co:2
273:- :uplinklst end bloc:1 co:2
274:- :uplinklst end bloc:1 co:2
275:- :uplinklst end bloc:1 co:2
276:- :uplinklst end bloc:1 co:2
277:- :uplinklst end bloc:1 co:2
305:- :uplinklst end bloc:1 co:2
306:- :uplinklst end bloc:1 co:2
307:- :uplinklst end bloc:1 co:2
308:- :uplinklst end bloc:1 co:2
309:- :uplinklst end bloc:1 co:2
310:- :uplinklst end bloc:1 co:2
311:- :uplinklst end bloc:1 co:2
312:- :uplinklst end bloc:1 co:2
313:- :uplinklst end bloc:1 co:2
314:- :uplinklst end bloc:1 co:2
315:- :uplinklst end bloc:1 co:2
316:- :uplinklst end bloc:1 co:2
317:- :uplinklst end bloc:1 co:2
318:- :uplinklst end bloc:1 co:2
319:- :uplinklst end bloc:1 co:2
320:- :uplinklst end bloc:1 co:2
321:- :uplinklst end bloc:1 co:2
322:- :uplinklst end bloc:1 co:2
323:- :uplinklst end bloc:1 co:2
324:- :uplinklst end bloc:1 co:2
325:- :uplinklst end bloc:1 co:2
326:- :uplinklst end bloc:1 co:2
